id,created_at,device_id,temperature,humidity
437,2025-11-04 02:37:14.125189+00,1,21.9,58
438,2025-11-04 02:52:23.187262+00,1,21.9,58
439,2025-11-04 03:07:31.815644+00,1,21.9,58
440,2025-11-04 03:22:41.22908+00,1,21.9,58
441,2025-11-04 03:37:49.673249+00,1,21.8,58
442,2025-11-04 03:52:58.394282+00,1,21.8,58
443,2025-11-04 04:08:06.866281+00,1,21.9,58
444,2025-11-04 04:23:15.38425+00,1,21.9,58
445,2025-11-04 04:38:23.889614+00,1,22.1,58
446,2025-11-04 04:53:32.388256+00,1,22.2,58
447,2025-11-04 05:08:41.01556+00,1,22.3,59
448,2025-11-04 05:23:49.532286+00,1,22.3,59
449,2025-11-04 05:38:59.844545+00,1,22.4,59
450,2025-11-04 05:54:08.306786+00,1,22.4,59
451,2025-11-04 06:17:09.795456+00,1,22.3,55
452,2025-11-04 06:32:53.809332+00,1,22.3,52
453,2025-11-04 06:48:04.344044+00,1,22.3,52
454,2025-11-07 00:14:00.428096+00,1,21.6,46
455,2025-11-07 00:29:09.02613+00,1,21.6,46
456,2025-11-07 00:44:17.855675+00,1,22.1,47
457,2025-11-07 00:59:26.52087+00,1,22.8,47
458,2025-11-07 01:14:35.276099+00,1,23.3,47
459,2025-11-07 01:29:43.959673+00,1,23.6,47
460,2025-11-07 01:44:52.94531+00,1,23.9,47
461,2025-11-07 02:00:01.724643+00,1,24.2,47
462,2025-11-07 02:15:10.413735+00,1,24.4,47
463,2025-11-07 02:30:19.351391+00,1,24,48
464,2025-11-07 02:45:27.929099+00,1,24.6,48
465,2025-11-07 03:00:36.62745+00,1,24.1,48
466,2025-11-07 03:15:45.226733+00,1,24.7,48
467,2025-11-07 03:30:53.641624+00,1,24.2,49
468,2025-11-07 03:46:02.021661+00,1,24.7,48
469,2025-11-07 04:01:10.859534+00,1,24.5,49
470,2025-11-07 04:16:19.209252+00,1,24.5,49
471,2025-11-07 04:31:27.423987+00,1,24.6,49
472,2025-11-07 04:46:35.925824+00,1,24.3,49
473,2025-11-07 05:01:44.248257+00,1,24.9,48
474,2025-11-07 05:16:52.279584+00,1,24.5,49
475,2025-11-07 05:32:00.772418+00,1,24.4,49
476,2025-11-07 05:47:09.238378+00,1,24,50
477,2025-11-07 06:02:17.620294+00,1,23.8,51
478,2025-11-07 06:17:26.120486+00,1,23.7,51
479,2025-11-07 06:32:34.598447+00,1,23.6,51
480,2025-11-07 06:47:42.840253+00,1,23.5,52
481,2025-11-07 07:02:51.182556+00,1,23.4,52
482,2025-11-07 07:17:59.679418+00,1,23.4,52
483,2025-11-07 07:33:08.009855+00,1,23.4,52
484,2025-11-07 07:48:16.371159+00,1,23.3,52
485,2025-11-07 08:03:24.837753+00,1,23.2,53
486,2025-11-07 08:18:32.911605+00,1,23.1,53
487,2025-11-07 08:33:41.382534+00,1,23,53
488,2025-11-07 08:48:49.550884+00,1,23,53
489,2025-11-07 09:03:57.827637+00,1,22.9,53
490,2025-11-07 09:19:06.15427+00,1,22.9,53
491,2025-11-07 09:34:14.680556+00,1,22.9,54
492,2025-11-07 09:49:22.935817+00,1,22.8,54
493,2025-11-07 10:04:31.400375+00,1,22.9,54
494,2025-11-07 10:19:39.924835+00,1,22.8,54
495,2025-11-07 10:34:48.180229+00,1,22.8,55
496,2025-11-07 10:49:56.422625+00,1,22.4,48
497,2025-11-07 11:05:04.70954+00,1,22.4,47
498,2025-11-07 11:20:12.910304+00,1,22.5,49
499,2025-11-07 11:35:20.999135+00,1,22.4,49
500,2025-11-07 11:50:29.351562+00,1,22.3,49
501,2025-11-07 12:05:37.570361+00,1,22.4,49
502,2025-11-07 12:20:45.800889+00,1,22.3,48
